Court,Year,Metric,Value,Unit
Magistrates Court,2025,Criminal_Dismissed,8,%
Magistrates Court,2025,PI_Guilty,0,%
Magistrates Court,2025,PI_NotGuilty,0,%
Magistrates Court,2025,PI_Withdrawn,14,%
Magistrates Court,2025,PI_Committed,82,%
Magistrates Court,2025,PI_Dismissed,4,%
Supreme Court,2025,Workload_Total_Filings,900,
Supreme Court,2025,Workload_Total_Disposals,850,
Supreme Court,2025,Workload_Total_ClearanceRate,94,%
Supreme Court,2025,Workload_Criminal_Filings,245,
Supreme Court,2025,Workload_Criminal_Disposals,248,
Supreme Court,2025,Workload_Criminal_ClearanceRate,101,%
Magistrates Court,2025,Workload_Total_Filings,2450,
Magistrates Court,2025,Workload_Total_Disposals,2180,
Magistrates Court,2025,Workload_Total_ClearanceRate,89,%
Magistrates Court,2025,Workload_Criminal_Filings,820,
Magistrates Court,2025,Workload_Criminal_Disposals,775,
Magistrates Court,2025,Workload_Criminal_ClearanceRate,95,%
Magistrates Court,2025,Workload_PI_Filings,360,
Magistrates Court,2025,Workload_PI_Disposals,395,
Magistrates Court,2025,Workload_PI_ClearanceRate,110,%
Magistrates Court,2025,Workload_Violence_Filings,1270,
Magistrates Court,2025,Workload_Violence_Disposals,1295,
Magistrates Court,2025,Workload_Violence_ClearanceRate,102,%
Island Court,2025,Workload_Total_Filings,395,
Island Court,2025,Workload_Total_Disposals,400,
Island Court,2025,Workload_Total_ClearanceRate,101,%
Island Court,2025,Workload_Criminal_Filings,185,
Island Court,2025,Workload_Criminal_Disposals,205,
Island Court,2025,Workload_Criminal_ClearanceRate,111,%
Island Court,2025,Workload_Maintenance_Filings,210,
Island Court,2025,Workload_Maintenance_Disposals,275,
Island Court,2025,Workload_Maintenance_ClearanceRate,131,%
Court of Appeal,2025,Workload_Total_Filings,82,
Court of Appeal,2025,Workload_Total_Disposals,84,
Court of Appeal,2025,Workload_Total_ClearanceRate,102,%
Court of Appeal,2025,Workload_Civil_Filings,46,
Court of Appeal,2025,Workload_Civil_Disposals,49,
Court of Appeal,2025,Workload_Civil_ClearanceRate,107,%
Court of Appeal,2025,Workload_Criminal_Filings,36,
Court of Appeal,2025,Workload_Criminal_Disposals,35,
Court of Appeal,2025,Workload_Criminal_ClearanceRate,97,%
Supreme Court,2025,Pending_Civil,535,
Supreme Court,2025,Pending_Civil_Pct,56,%
Supreme Court,2025,Pending_Criminal,340,
Supreme Court,2025,Pending_Criminal_Pct,36,%
Supreme Court,2025,Pending_Other,75,
Supreme Court,2025,Pending_Other_Pct,8,%
Magistrates Court,2025,Pending_Criminal,472,
Magistrates Court,2025,Pending_Criminal_Pct,35,%
Magistrates Court,2025,Pending_Violence,405,
Magistrates Court,2025,Pending_Violence_Pct,30,%
Magistrates Court,2025,Pending_PI,270,
Magistrates Court,2025,Pending_PI_Pct,20,%
Magistrates Court,2025,Pending_Other,203,
Magistrates Court,2025,Pending_Other_Pct,15,%
Island Court,2025,Pending_Criminal,245,
Island Court,2025,Pending_Criminal_Pct,36,%
Island Court,2025,Pending_Maintenance,245,
Island Court,2025,Pending_Maintenance_Pct,36,%
Island Court,2025,Pending_Other,190,
Island Court,2025,Pending_Other_Pct,28,%
Court of Appeal,2025,Pending_Civil,11,
Court of Appeal,2025,Pending_Civil_Pct,50,%
Court of Appeal,2025,Pending_Criminal,11,
Court of Appeal,2025,Pending_Criminal_Pct,50,%
Supreme Court,2025,Pending_WithFutureListing,42,%
Supreme Court,2025,Pending_UnderCaseMgmt,45,%
Supreme Court,2025,Pending_NoFutureDate,13,%
Magistrates Court,2025,Pending_WithFutureListing,19,%
Magistrates Court,2025,Pending_UnderCaseMgmt,51,%
Magistrates Court,2025,Pending_NoFutureDate,30,%
Island Court,2025,Pending_WithFutureListing,31,%
Island Court,2025,Pending_UnderCaseMgmt,40,%
Island Court,2025,Pending_NoFutureDate,29,%
Magistrates Court,2025,DV_Filings,1270,
Magistrates Court,2025,DV_Disposals,1295,
Magistrates Court,2025,DV_ClearanceRate,102,%
Magistrates Court,2025,Location_Sanma_Filings,637,
Magistrates Court,2025,Location_Sanma_Pct,26,%
Magistrates Court,2025,Location_Shefa_Filings,613,
Magistrates Court,2025,Location_Shefa_Pct,25,%
Magistrates Court,2025,Location_Malampa_Filings,417,
Magistrates Court,2025,Location_Malampa_Pct,17,%
Magistrates Court,2025,Location_Tafea_Filings,392,
Magistrates Court,2025,Location_Tafea_Pct,16,%
Magistrates Court,2025,Location_Penama_Filings,245,
Magistrates Court,2025,Location_Penama_Pct,10,%
Magistrates Court,2025,Location_Torba_Filings,150,
Magistrates Court,2025,Location_Torba_Pct,6,%
Island Court,2025,Location_Sanma_Filings,107,
Island Court,2025,Location_Sanma_Pct,27,%
Island Court,2025,Location_Shefa_Filings,99,
Island Court,2025,Location_Shefa_Pct,25,%
Island Court,2025,Location_Malampa_Filings,67,
Island Court,2025,Location_Malampa_Pct,17,%
Island Court,2025,Location_Tafea_Filings,63,
Island Court,2025,Location_Tafea_Pct,16,%
Island Court,2025,Location_Penama_Filings,40,
Island Court,2025,Location_Penama_Pct,10,%
Island Court,2025,Location_Torba_Filings,20,
Island Court,2025,Location_Torba_Pct,5,%
Supreme Court,2025,ChargeOrders,1240,
Magistrates Court,2025,ChargeOrders,190,
Court of Appeal,2025,CoA_Civil_Dismissed,61,%
Court of Appeal,2025,CoA_Civil_Allowed,25,%
Court of Appeal,2025,CoA_Civil_Withdrawn,9,%
Court of Appeal,2025,CoA_Criminal_Dismissed,56,%
Court of Appeal,2025,CoA_Criminal_Allowed,30,%
Court of Appeal,2025,CoA_Criminal_Withdrawn,9,%
